date,fear-greed-ammount,trend
04-28-2021,59,Greed
04-27-2021,50,Neutral
04-26-2021,27,Fear
04-25-2021,31,Fear
04-24-2021,37,Fear
04-23-2021,55,Greed
04-22-2021,65,Greed
04-21-2021,73,Greed
04-20-2021,73,Greed
04-19-2021,74,Greed
04-18-2021,79,Extreme Greed
04-17-2021,76,Extreme Greed
04-16-2021,78,Extreme Greed
04-15-2021,79,Extreme Greed
04-14-2021,75,Greed
04-13-2021,74,Greed
04/12/2021,74,Greed
04/11/2021,76,Extreme Greed
04/10/2021,70,Greed
04/09/2021,70,Greed
04/08/2021,73,Greed
04/07/2021,72,Greed
04/06/2021,75,Greed
04/05/2021,71,Greed
04/04/2021,74,Greed
04/03/2021,73,Greed
04/02/2021,74,Greed
04/01/2021,74,Greed
03-31-2021,76,Extreme Greed
03-30-2021,72,Greed
03-29-2021,72,Greed
03-28-2021,74,Greed
03-27-2021,65,Greed
03-26-2021,54,Neutral
03-25-2021,60,Greed
03-24-2021,65,Greed
03-23-2021,66,Greed
03-22-2021,70,Greed
03-21-2021,73,Greed
03-20-2021,75,Greed
03-19-2021,71,Greed
03-18-2021,72,Greed
03-17-2021,71,Greed
03-16-2021,71,Greed
03-15-2021,76,Extreme Greed
03-14-2021,78,Extreme Greed
03-13-2021,74,Greed
03/12/2021,70,Greed
03/11/2021,73,Greed
03/10/2021,68,Greed
03/09/2021,81,Extreme Greed
03/08/2021,81,Extreme Greed
03/07/2021,76,Extreme Greed
03/06/2021,77,Extreme Greed
03/05/2021,77,Extreme Greed
03/04/2021,84,Extreme Greed
03/03/2021,78,Extreme Greed
03/02/2021,78,Extreme Greed
03/01/2021,38,Fear
02-28-2021,55,Greed
02-27-2021,56,Greed
02-26-2021,55,Greed
02-25-2021,79,Extreme Greed
02-24-2021,76,Extreme Greed
02-23-2021,94,Extreme Greed
02-22-2021,94,Extreme Greed
02-21-2021,91,Extreme Greed
02-20-2021,91,Extreme Greed
02-19-2021,93,Extreme Greed
02-18-2021,91,Extreme Greed
02-17-2021,95,Extreme Greed
02-16-2021,95,Extreme Greed
02-15-2021,93,Extreme Greed
02-14-2021,95,Extreme Greed
02-13-2021,92,Extreme Greed
02/12/2021,92,Extreme Greed
02/11/2021,93,Extreme Greed
02/10/2021,92,Extreme Greed
02/09/2021,95,Extreme Greed
02/08/2021,83,Extreme Greed
02/07/2021,86,Extreme Greed
02/06/2021,84,Extreme Greed
02/05/2021,81,Extreme Greed
02/04/2021,80,Extreme Greed
02/03/2021,78,Extreme Greed
02/02/2021,76,Extreme Greed
02/01/2021,77,Extreme Greed
01-31-2021,78,Extreme Greed
01-30-2021,76,Extreme Greed
01-29-2021,77,Extreme Greed
01-28-2021,55,Greed
01-27-2021,78,Extreme Greed
01-26-2021,71,Greed
01-25-2021,74,Greed
01-24-2021,70,Greed
01-23-2021,74,Greed
01-22-2021,40,Fear
01-21-2021,75,Greed
01-20-2021,78,Extreme Greed
01-19-2021,80,Extreme Greed
01-18-2021,79,Extreme Greed
01-17-2021,79,Extreme Greed
01-16-2021,84,Extreme Greed
01-15-2021,88,Extreme Greed
01-14-2021,83,Extreme Greed
01-13-2021,78,Extreme Greed
01/12/2021,84,Extreme Greed
01/11/2021,90,Extreme Greed
01/10/2021,94,Extreme Greed
01/09/2021,93,Extreme Greed
01/08/2021,93,Extreme Greed
01/07/2021,91,Extreme Greed
01/06/2021,95,Extreme Greed
01/05/2021,93,Extreme Greed
01/04/2021,94,Extreme Greed
01/03/2021,93,Extreme Greed
01/02/2021,94,Extreme Greed
01/01/2021,94,Extreme Greed
12-31-2020,95,Extreme Greed
12-30-2020,91,Extreme Greed
12-29-2020,91,Extreme Greed
12-28-2020,92,Extreme Greed
12-27-2020,91,Extreme Greed
12-26-2020,93,Extreme Greed
12-25-2020,94,Extreme Greed
12-24-2020,86,Extreme Greed
12-23-2020,93,Extreme Greed
12-22-2020,88,Extreme Greed
12-21-2020,92,Extreme Greed
12-20-2020,92,Extreme Greed
12-19-2020,93,Extreme Greed
12-18-2020,95,Extreme Greed
12-17-2020,92,Extreme Greed
12-16-2020,92,Extreme Greed
12-15-2020,91,Extreme Greed
12-14-2020,95,Extreme Greed
12-13-2020,91,Extreme Greed
12/12/2020,90,Extreme Greed
12/11/2020,89,Extreme Greed
12/10/2020,94,Extreme Greed
12/09/2020,86,Extreme Greed
12/08/2020,95,Extreme Greed
12/07/2020,94,Extreme Greed
12/06/2020,95,Extreme Greed
12/05/2020,93,Extreme Greed
12/04/2020,92,Extreme Greed
12/03/2020,92,Extreme Greed
12/02/2020,92,Extreme Greed
12/01/2020,95,Extreme Greed
11-30-2020,88,Extreme Greed
11-29-2020,89,Extreme Greed
11-28-2020,87,Extreme Greed
11-27-2020,86,Extreme Greed
11-26-2020,93,Extreme Greed
11-25-2020,94,Extreme Greed
11-24-2020,88,Extreme Greed
11-23-2020,90,Extreme Greed
11-22-2020,94,Extreme Greed
11-21-2020,91,Extreme Greed
11-20-2020,86,Extreme Greed
11-19-2020,94,Extreme Greed
11-18-2020,91,Extreme Greed
11-17-2020,86,Extreme Greed
11-16-2020,90,Extreme Greed
11-15-2020,86,Extreme Greed
11-14-2020,90,Extreme Greed
11-13-2020,89,Extreme Greed
11/12/2020,87,Extreme Greed
11/11/2020,86,Extreme Greed
11/10/2020,90,Extreme Greed
11/09/2020,90,Extreme Greed
11/08/2020,82,Extreme Greed
11/07/2020,88,Extreme Greed
11/06/2020,90,Extreme Greed
11/05/2020,72,Greed
11/04/2020,74,Greed
11/03/2020,71,Greed
11/02/2020,71,Greed
11/01/2020,72,Greed
10-31-2020,73,Greed
10-30-2020,74,Greed
10-29-2020,67,Greed
10-28-2020,70,Greed
10-27-2020,61,Greed
10-26-2020,75,Greed
10-25-2020,76,Extreme Greed
10-24-2020,73,Greed
10-23-2020,74,Greed
10-22-2020,73,Greed
10-21-2020,61,Greed
10-20-2020,56,Greed
10-19-2020,55,Greed
10-18-2020,55,Greed
10-17-2020,56,Greed
10-16-2020,52,Neutral
10-15-2020,56,Greed
10-14-2020,53,Neutral
10-13-2020,56,Greed
10/12/2020,52,Neutral
10/11/2020,55,Greed
10/10/2020,53,Neutral
10/09/2020,48,Neutral
10/08/2020,46,Fear
10/07/2020,43,Fear
10/06/2020,47,Neutral
10/05/2020,42,Fear
10/04/2020,42,Fear
10/03/2020,40,Fear
10/02/2020,41,Fear
10/01/2020,45,Fear
09-30-2020,49,Neutral
09-29-2020,45,Fear
09-28-2020,43,Fear
09-27-2020,47,Neutral
09-26-2020,45,Fear
09-25-2020,46,Fear
09-24-2020,39,Fear
09-23-2020,43,Fear
09-22-2020,39,Fear
09-21-2020,48,Neutral
09-20-2020,52,Neutral
09-19-2020,48,Neutral
09-18-2020,49,Neutral
09-17-2020,48,Neutral
09-16-2020,43,Fear
09-15-2020,47,Neutral
09-14-2020,39,Fear
09-13-2020,38,Fear
09/12/2020,41,Fear
09/11/2020,41,Fear
09/10/2020,38,Fear
09/09/2020,38,Fear
09/08/2020,41,Fear
09/07/2020,41,Fear
09/06/2020,41,Fear
09/05/2020,41,Fear
09/04/2020,40,Fear
09/03/2020,79,Extreme Greed
09/02/2020,83,Extreme Greed
09/01/2020,75,Greed
08-31-2020,75,Greed
08-30-2020,75,Greed
08-29-2020,79,Extreme Greed
08-28-2020,74,Greed
08-27-2020,75,Greed
08-26-2020,76,Extreme Greed
08-25-2020,75,Greed
08-24-2020,78,Extreme Greed
08-23-2020,76,Extreme Greed
08-22-2020,78,Extreme Greed
08-21-2020,81,Extreme Greed
08-20-2020,75,Greed
08-19-2020,80,Extreme Greed
08-18-2020,82,Extreme Greed
08-17-2020,83,Extreme Greed
08-16-2020,82,Extreme Greed
08-15-2020,79,Extreme Greed
08-14-2020,78,Extreme Greed
08-13-2020,75,Greed
08/12/2020,75,Greed
08/11/2020,84,Extreme Greed
08/10/2020,78,Extreme Greed
08/09/2020,79,Extreme Greed
08/08/2020,77,Extreme Greed
08/07/2020,77,Extreme Greed
08/06/2020,79,Extreme Greed
08/05/2020,75,Greed
08/04/2020,72,Greed
08/03/2020,75,Greed
08/02/2020,80,Extreme Greed
08/01/2020,75,Greed
07-31-2020,75,Greed
07-30-2020,76,Extreme Greed
07-29-2020,71,Greed
07-28-2020,76,Extreme Greed
07-27-2020,58,Greed
07-26-2020,55,Greed
07-25-2020,55,Greed
07-24-2020,53,Neutral
07-23-2020,55,Greed
07-22-2020,50,Neutral
07-21-2020,44,Fear
07-20-2020,44,Fear
07-19-2020,41,Fear
07-18-2020,44,Fear
07-17-2020,41,Fear
07-16-2020,43,Fear
07-15-2020,44,Fear
07-14-2020,43,Fear
07-13-2020,43,Fear
07/12/2020,41,Fear
07/11/2020,44,Fear
07/10/2020,41,Fear
07/09/2020,44,Fear
07/08/2020,44,Fear
07/07/2020,43,Fear
07/06/2020,40,Fear
07/05/2020,38,Fear
07/04/2020,40,Fear
07/03/2020,41,Fear
07/02/2020,42,Fear
07/01/2020,42,Fear
06-30-2020,44,Fear
06-29-2020,41,Fear
06-28-2020,40,Fear
06-27-2020,43,Fear
06-26-2020,40,Fear
06-25-2020,43,Fear
06-24-2020,50,Neutral
06-23-2020,41,Fear
06-22-2020,38,Fear
06-21-2020,37,Fear
06-20-2020,38,Fear
06-19-2020,39,Fear
06-18-2020,40,Fear
06-17-2020,38,Fear
06-16-2020,39,Fear
06-15-2020,37,Fear
06-14-2020,40,Fear
06-13-2020,38,Fear
06/12/2020,38,Fear
06/11/2020,52,Neutral
06/10/2020,54,Neutral
06/09/2020,52,Neutral
06/08/2020,53,Neutral
06/07/2020,54,Neutral
06/06/2020,54,Neutral
06/05/2020,53,Neutral
06/04/2020,54,Neutral
06/03/2020,48,Neutral
06/02/2020,56,Greed
06/01/2020,50,Neutral
05-31-2020,51,Neutral
05-30-2020,48,Neutral
05-29-2020,48,Neutral
05-28-2020,41,Fear
05-27-2020,39,Fear
05-26-2020,39,Fear
05-25-2020,41,Fear
05-24-2020,43,Fear
05-23-2020,40,Fear
05-22-2020,42,Fear
05-21-2020,49,Neutral
05-20-2020,52,Neutral
05-19-2020,50,Neutral
05-18-2020,50,Neutral
05-17-2020,40,Fear
05-16-2020,41,Fear
05-15-2020,44,Fear
05-14-2020,40,Fear
05-13-2020,41,Fear
05/12/2020,39,Fear
05/11/2020,40,Fear
05/10/2020,48,Neutral
05/09/2020,56,Greed
05/08/2020,55,Greed
05/07/2020,49,Neutral
05/06/2020,42,Fear
05/05/2020,40,Fear
05/04/2020,44,Fear
05/03/2020,45,Fear
05/02/2020,40,Fear
05/01/2020,40,Fear
04-30-2020,44,Fear
04-29-2020,26,Fear
